subjectID,list_number,tar_name,voice_type,comp_type,has_comp,upper_left,upper_right,lower_left,lower_right,clicked,correct,RT,age,gender,day,time
Pilot,1,Glasses,man,woman,FALSE,Distractors/giraffe.jpg,glasses_mens.jpg,Distractors/kettle.jpg,Distractors/pot.jpg,upperRight,upperRight,NaN,4;11,F,5/13/14,10:48
Pilot,1,Clock,man,woman,FALSE,Distractors/bee.jpg,Distractors/celery.jpg,clock_mens.jpg,Distractors/drum.jpg,upperRight,lowerLeft,NaN,4;11,F,5/13/14,10:49
Pilot,1,Scissors,man,woman,TRUE,Distractors/snail.jpg,scissors_mens.jpg,Distractors/tree.jpg,scissors_womens.jpg,upperRight,upperRight,NaN,4;11,F,5/13/14,10:49
Pilot,1,Watch,man,woman,FALSE,Distractors/banana.jpg,Distractors/cow.jpg,Distractors/violin.jpg,watch_mens.jpg,lowerRight,lowerRight,NaN,4;11,F,5/13/14,10:49
Pilot,1,Bike,man,woman,TRUE,bike_womens.jpg,Distractors/stone.jpg,bike_mens.jpg,Distractors/accordion.jpg,lowerLeft,lowerLeft,NaN,4;11,F,5/13/14,10:49
Pilot,1,Pajamas,man,woman,TRUE,pajamas_womens.jpg,pajamas_mens.jpg,Distractors/apple.jpg,Distractors/cricket.jpg,upperRight,upperRight,NaN,4;11,F,5/13/14,10:49
Pilot,1,Swimsuit,man,woman,FALSE,Distractors/jar.jpg,Distractors/frog.jpg,swimsuit_mens.jpg,Distractors/hay.jpg,lowerLeft,lowerLeft,NaN,4;11,F,5/13/14,10:49
Pilot,1,Hat,man,woman,FALSE,hat_mens.jpg,Distractors/eggplant.jpg,Distractors/door.jpg,Distractors/fork.jpg,upperLeft,upperLeft,NaN,4;11,F,5/13/14,10:49
Pilot,1,Pen,man,woman,TRUE,pen_mens.jpg,pen_womens.jpg,Distractors/frenchhorn.jpg,Distractors/mushroom.jpg,upperLeft,upperLeft,NaN,4;11,F,5/13/14,10:49
Pilot,1,Socks,man,woman,TRUE,socks_mens.jpg,Distractors/dart.jpg,socks_womens.jpg,Distractors/mouse.jpg,lowerLeft,upperLeft,NaN,4;11,F,5/13/14,10:50
Pilot,1,Boot,man,woman,TRUE,Distractors/potato.jpg,Distractors/trumpet.jpg,boot_womens.jpg,boot_mens.jpg,lowerRight,lowerRight,NaN,4;11,F,5/13/14,10:50
Pilot,1,Gloves,man,woman,FALSE,Distractors/arrows.jpg,Distractors/board.jpg,Distractors/crutch.jpg,gloves_mens.jpg,lowerRight,lowerRight,NaN,4;11,F,5/13/14,10:50
